SiteID,Begin_Date,Weekday,Begin_hour,TR,M,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
JNE,1/18/22,Tuesday,20,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,21,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,22,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,23,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,0,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,1,,1,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,2,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,3,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,4,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,5,,1,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,6,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,7,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,8,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,9,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,10,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,11,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,12,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,13,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,14,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,15,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,16,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,17,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,18,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,19,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,20,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,21,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,22,,0,0,0,0,0,0,0,0,
JNE,1/19/22,Wednesday,23,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,0,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,1,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,2,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,3,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,4,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,5,,1,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,6,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,7,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,8,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,9,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,10,,1,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,11,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,12,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,13,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,14,,0,0,0,0,0,0,0,0,
JNE,1/20/22,Thursday,15,,0,0,0,0,0,0,0,0,
