network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-04,Su,2019-11-03,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-04,Th,2019-10-31,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-04,T,2019-10-29,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-04,W,2019-10-30,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-11,F,2019-11-08,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-11,M,2019-11-04,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-11,Sa,2019-11-09,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-11,Su,2019-11-10,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-11,Th,2019-11-07,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-11,T,2019-11-05,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-11,W,2019-11-06,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-18,F,2019-11-15,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-18,M,2019-11-11,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-18,Sa,2019-11-16,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-18,Su,2019-11-17,1,1,1,0,0,1,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-18,Th,2019-11-14,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-18,T,2019-11-12,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-18,W,2019-11-13,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-25,M,2019-11-18,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-09-30,F,2019-09-27,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-09-30,Sa,2019-09-28,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-09-30,Su,2019-09-29,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-09-30,Th,2019-09-26,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-09-30,W,2019-09-25,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-07,F,2019-10-04,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-07,M,2019-09-30,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-07,Sa,2019-10-05,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-07,Su,2019-10-06,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-07,Th,2019-10-03,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-07,T,2019-10-01,2,1,1,1,1,0,0
