Dep,Weekday,ves_yn,network,npz_id,Site_ID,Date_noyr,Begin_Date_loc,n_hours,name,Perc_per_hour
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-05-17,2019-05-17,12,freq,0.5
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-05-24,2019-05-24,6,freq,0.25
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-05-31,2019-05-31,7,freq,0.2916666666666667
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-06-07,2019-06-07,2,freq,0.08333333333333333
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-06-14,2019-06-14,9,freq,0.375
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-06-21,2019-06-21,5,freq,0.20833333333333334
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-04-15,2019-04-15,24,freq,1
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-04-22,2019-04-22,17,freq,0.7083333333333334
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-04-29,2019-04-29,18,freq,0.75
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-05-06,2019-05-06,23,freq,0.9583333333333334
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-05-13,2019-05-13,22,freq,0.9166666666666666
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-05-20,2019-05-20,18,freq,0.75
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-05-27,2019-05-27,21,freq,0.875
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-06-03,2019-06-03,21,freq,0.875
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-06-10,2019-06-10,15,freq,0.625
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-06-17,2019-06-17,24,freq,1
CGMP_201904_CG,M,N,Temperate East,CGMP,CG,2000-06-24,2019-06-24,23,freq,0.9583333333333334
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-04-22,2019-04-22,7,freq,0.2916666666666667
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-04-29,2019-04-29,6,freq,0.25
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-05-06,2019-05-06,1,freq,0.041666666666666664
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-05-13,2019-05-13,2,freq,0.08333333333333333
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-05-20,2019-05-20,6,freq,0.25
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-05-27,2019-05-27,3,freq,0.125
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-06-03,2019-06-03,3,freq,0.125
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-06-10,2019-06-10,9,freq,0.375
CGMP_201904_CG,M,Y,Temperate East,CGMP,CG,2000-06-24,2019-06-24,1,freq,0.041666666666666664
CGMP_201904_CG,Sa,N,Temperate East,CGMP,CG,2000-04-13,2019-04-13,24,freq,1
CGMP_201904_CG,Sa,N,Temperate East,CGMP,CG,2000-04-20,2019-04-20,15,freq,0.625
CGMP_201904_CG,Sa,N,Temperate East,CGMP,CG,2000-04-27,2019-04-27,22,freq,0.9166666666666666
CGMP_201904_CG,Sa,N,Temperate East,CGMP,CG,2000-05-04,2019-05-04,22,freq,0.9166666666666666
