network,npz_id,Site_ID,Dep,Week,Date_week,Begin_Date_loc,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2022-01-20,1,15,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2022-01-21,1,16,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2022-01-22,1,22,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2022-01-23,1,16,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2022-01-24,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2022-01-25,1,5,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2022-01-26,1,9,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2022-01-27,1,2,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2022-01-28,1,6,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2022-01-29,1,23,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2022-01-30,1,7,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2022-01-31,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2022-02-01,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2022-02-02,1,3,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2022-02-03,1,10,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2022-02-04,1,9,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2022-02-05,1,38,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2022-02-06,1,1,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2022-02-07,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2022-02-08,1,8,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2022-02-09,1,9,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2022-02-10,1,3,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2022-02-11,1,2,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2022-02-12,1,2,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2022-02-13,1,8,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,7,2025-02-19,2022-02-14,1,4,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,7,2025-02-19,2022-02-15,1,8,0,1
